81485316,J5T-691,24/12/2020,508.92
25518120,E1J-798,14/07/2020,377.32
58992942,Q6B-243,28/02/2020,316.00
15029228,C0P-895,27/09/2020,316.00
58992942,V7O-315,1/01/2020,316.00
24859596,A8P-118,7/09/2020,474.00
27864822,S3D-133,8/03/2020,382.36
53853385,O5L-856,19/06/2020,316.00
16477908,X9D-758,18/03/2020,316.00
63291514,Z1A-459,20/08/2020,316.00
82870470,C4O-436,12/10/2020,377.32
30441350,M9Z-497,17/03/2020,138.05
53853385,R6P-267,16/01/2020,276.71
82870470,K0H-387,3/03/2020,316.00
53853385,T9X-217,13/10/2020,462.66
26522329,U7R-252,9/06/2020,158.00
99950484,Y9W-731,25/05/2020,740.63
52002275,J8N-930,23/03/2020,711.00
16925690,R7N-113,27/12/2020,474.00
71578206,Y9F-491,23/06/2020,474.00
88854166,H3E-885,10/06/2020,316.00
44188994,M0X-657,17/03/2020,288.83
73972114,A2F-518,13/10/2020,316.00
54447051,G3Y-654,23/05/2020,347.60
89941095,P6T-244,17/09/2020,384.43
47528229,U0N-343,13/06/2020,183.74
34248357,H4R-733,10/01/2020,502.87
45043076,S7E-946,5/08/2020,316.00
29989682,W3T-571,19/12/2020,474.00
79641328,L0L-653,17/12/2020,316.00
47528229,U0N-343,5/12/2020,189.00
82870470,C4O-436,16/12/2020,138.05
69252518,P7I-760,25/10/2020,948.00
29833157,I5K-310,4/04/2020,948.00
32090869,L4B-291,1/08/2020,316.00
70414420,U5T-348,26/02/2020,151.86
77367073,C2S-070,17/10/2020,474.00
50200823,Q6C-943,14/04/2020,533.49
16925690,R7N-113,14/08/2020,316.00
16925690,B4I-014,10/07/2020,508.92
27185429,U3F-754,2/02/2020,382.36
80457845,Z5G-762,18/04/2020,474.00
88167677,Y4Y-028,1/07/2020,474.00
67185679,F1F-571,16/05/2020,384.10
86429854,M5U-987,11/04/2020,405.14
15559308,T8F-368,31/08/2020,228.69
90467829,X8U-894,6/10/2020,316.00
15029228,J0Q-121,6/11/2020,474.00
16477908,I0E-459,10/10/2020,474.00
30046639,S3F-021,13/04/2020,189.00
32244565,J1E-736,7/07/2020,533.49
64178096,G3B-505,22/11/2020,125.50
29833157,I5K-310,6/04/2020,125.50
16925690,F3F-478,12/02/2020,508.92
12858682,T5L-371,20/12/2020,316.00
75348522,P5B-640,3/08/2020,347.60
71578206,Y9F-491,21/08/2020,316.00
50201756,K5K-595,4/11/2020,474.00
74325123,V9F-655,1/03/2020,316.00
96693273,C0G-556,9/10/2020,238.70
58992942,H8M-598,7/08/2020,158.00
71832810,W1C-444,30/03/2020,167.04
67185679,S7F-983,22/12/2020,488.22
44346371,S4J-282,15/12/2020,288.83
86429854,K1F-766,15/04/2020,740.63
86718074,Q6I-941,12/03/2020,316.00
49927087,G7B-252,25/09/2020,355.66
19568447,D8R-235,20/08/2020,288.83
30046639,L8F-459,30/03/2020,316.00
42956681,L8Z-555,3/12/2020,474.00
96693273,C0G-556,3/10/2020,316.00
12270502,P7T-999,13/04/2020,276.71
68303148,H1W-140,9/08/2020,345.30
84186239,T6W-978,19/06/2020,474.00
70414420,U5T-348,25/07/2020,474.00
54141214,G2I-709,21/11/2020,335.24
53374153,G6I-762,8/08/2020,5925.00
37080813,P7E-145,4/02/2020,251.56
73357516,G0B-604,12/03/2020,349.48
31107104,E0I-722,8/01/2020,228.69
39244942,N5Y-450,15/07/2020,316.00
86429854,K1F-766,13/04/2020,316.00
54447051,G3Y-654,1/05/2020,189.00
87282766,S1D-093,24/10/2020,217.00
54665716,D2V-055,5/06/2020,304.39
70414420,A7Y-514,28/11/2020,158.00
64532449,J0V-437,4/07/2020,151.86
60335381,E6T-667,20/11/2020,202.12
73567806,W9Z-281,25/11/2020,316.00
73972114,J2M-606,19/11/2020,316.00
13219606,T3B-722,16/04/2020,502.87
13219606,M2Q-712,20/06/2020,502.87
71578206,G7Z-721,10/07/2020,316.00
87495937,M5G-669,2/11/2020,3950.00
36079131,I0W-872,26/01/2020,316.00
89941095,R8O-904,12/08/2020,474.00
48528209,T9L-709,20/07/2020,5925.00
81799482,V7P-711,29/06/2020,740.63
15559308,T8F-368,8/11/2020,228.69
73357516,G0B-604,4/02/2020,316.00
30441350,T7F-869,19/02/2020,405.14
88167677,O0C-616,12/02/2020,740.63
24859596,A8P-118,29/12/2020,368.31
13628871,F3E-797,14/05/2020,316.00
79641328,X8Q-687,10/11/2020,740.63
13219606,M2Q-712,20/07/2020,502.87
80457845,Z5G-762,6/03/2020,384.10
60784914,C6Q-548,4/03/2020,366.33
51395324,M4Z-108,11/09/2020,158.00
73567806,Q9D-870,21/09/2020,474.00
82031355,Z5D-724,16/11/2020,276.71
87495937,L2H-207,17/03/2020,138.05
66849703,B4N-777,18/02/2020,349.48
73972114,A2F-518,15/01/2020,316.00
73357516,J2K-636,10/05/2020,316.00
25518120,E1J-798,4/06/2020,592.50
79672079,R7U-941,15/11/2020,158.00
34248357,U0T-459,20/12/2020,711.00
27185429,U3F-754,27/02/2020,592.50
43454884,P6Z-734,24/07/2020,276.71
15559308,X6O-905,7/03/2020,316.00
31205866,U6A-456,24/02/2020,316.00
42956681,E0L-862,2/04/2020,316.00
35683701,D5W-953,12/09/2020,474.00
88854166,L3N-150,10/12/2020,316.00
99950484,Y9W-731,28/07/2020,238.70
53853385,T9X-217,8/11/2020,403.30
66849703,B4N-777,20/11/2020,316.00
70414420,U5T-348,24/06/2020,3950.00
80457845,Z5G-762,9/11/2020,316.00
80457845,M7F-612,5/02/2020,276.71
35912665,O4X-500,17/12/2020,202.12
21621497,R5I-860,11/01/2020,262.57
12443643,R8H-409,14/12/2020,316.00
73567806,Q9D-870,25/01/2020,316.00
97849227,I0K-077,30/06/2020,474.00
88854166,L3N-150,21/05/2020,474.00
48450395,Q5S-871,13/08/2020,925.78
99950484,Y6I-680,26/07/2020,202.12
31205866,U6A-456,5/04/2020,316.00
39244942,N5Y-450,19/08/2020,262.57
34976629,J8B-303,8/05/2020,276.71
30441350,Q6Q-335,14/10/2020,368.31
66849703,B4N-777,25/02/2020,345.30
49927087,X3E-271,15/03/2020,158.00
13219606,T3B-722,29/08/2020,422.87
34248357,R7N-062,15/06/2020,316.00
67185679,S7F-983,26/08/2020,474.00
54447051,G3Y-654,20/06/2020,474.00
45043076,I1D-713,19/07/2020,405.14
27864822,T9U-338,22/05/2020,158.00
89941095,R8O-904,25/09/2020,711.00
71578206,G7Z-721,3/08/2020,316.00
75348522,X0D-655,2/02/2020,316.00
64178096,B7V-643,5/03/2020,158.00
89314225,C3A-423,27/01/2020,316.00
86429854,K1F-766,10/10/2020,316.00
77367073,C2S-070,14/05/2020,559.81
88167677,V7U-622,25/05/2020,167.04
13219606,T3B-722,16/11/2020,474.00
53374153,V7L-069,24/06/2020,316.00
64532449,J0V-437,27/10/2020,158.00
88167677,Y4Y-028,18/05/2020,549.50
89941095,P6N-119,6/01/2020,517.95
71578206,G7Z-721,17/02/2020,316.00
19963454,X9O-440,30/01/2020,948.00
30046639,P6I-223,15/09/2020,158.00
69252518,Y0Y-415,30/06/2020,304.39
81528434,D6F-465,21/08/2020,488.22
79766395,H7P-047,3/11/2020,474.00
50200823,R0P-255,25/02/2020,948.00
64178096,I0X-469,4/11/2020,474.00
77367073,W4W-684,13/07/2020,422.87
35912665,A6E-125,12/10/2020,125.50
96693273,C0G-556,30/12/2020,316.00
36079131,V4S-057,10/07/2020,474.00
13219606,N1O-921,4/09/2020,316.00
74325123,H0E-855,1/09/2020,948.00
60335381,B3U-845,19/08/2020,251.56
80310768,O2F-523,22/06/2020,474.00
29989682,W3T-571,19/04/2020,138.05
79672079,Y3Q-331,28/06/2020,474.00
30046639,L8F-459,14/10/2020,202.12
