15029228,201,Leve,158
48450395,151,Grave,316
73357516,151,Grave,316
50200823,115,Grave,316
88167677,127,Grave,316
16925690,321,Muy Grave,5925
87282766,135,Grave,316
73357516,339,Muy Grave,5925
38862473,306,Muy Grave,5925
82031355,102,Grave,316
54141214,140,Grave,316
15115705,170,Grave,316
39544560,126,Grave,316
32244565,339,Muy Grave,5925
60784914,128,Grave,316
73567806,320,Muy Grave,5925
47844324,329,Muy Grave,5925
15559308,330,Muy Grave,5925
16925690,323,Muy Grave,5925
27864822,318,Muy Grave,5925
42956681,134,Grave,316
53853385,153,Grave,316
54447051,132,Grave,316
60784914,319,Muy Grave,5925
89941095,131,Grave,316
71578206,162,Grave,316
32090869,331,Muy Grave,5925
79766395,305,Muy Grave,5925
88167677,335,Muy Grave,5925
73567806,124,Grave,316
73357516,158,Grave,316
86718074,104,Grave,316
71578206,341,Muy Grave,5925
32244565,316,Muy Grave,5925
79766395,204,Leve,158
49428502,306,Muy Grave,5925
63736112,137,Grave,316
53853385,156,Grave,316
73357516,126,Grave,316
73357516,311,Muy Grave,5925
30046639,305,Muy Grave,5925
73972114,316,Muy Grave,5925
77367073,313,Muy Grave,5925
77367073,101,Grave,316
82870470,108,Grave,316
77763722,112,Grave,316
32244565,134,Grave,316
27268323,138,Grave,316
34248357,103,Grave,316
24859596,310,Muy Grave,5925
80457845,133,Grave,316
88854166,127,Grave,316
34248357,138,Grave,316
87495937,115,Grave,316
39544560,306,Muy Grave,5925
47528229,149,Grave,316
50200823,336,Muy Grave,5925
82031355,113,Grave,316
54141214,333,Muy Grave,5925
64532449,126,Grave,316
15559308,130,Grave,316
48878256,335,Muy Grave,5925
27185429,111,Grave,316
54447051,331,Muy Grave,5925
16477908,110,Grave,316
64532449,161,Grave,316
45043076,316,Muy Grave,5925
16477908,320,Muy Grave,5925
60784914,170,Grave,316
19963454,165,Grave,316
79641328,324,Muy Grave,5925
19963454,202,Leve,158
48878256,322,Muy Grave,5925
86718074,302,Muy Grave,5925
36079131,141,Grave,316
12270502,330,Muy Grave,5925
75348522,107,Grave,316
42956681,127,Grave,316
66849703,307,Muy Grave,5925
73567806,341,Muy Grave,5925
80457845,122,Grave,316
47528229,322,Muy Grave,5925
90467829,112,Grave,316
26522329,207,Leve,158
82870470,159,Grave,316
77763722,329,Muy Grave,5925
32244565,325,Muy Grave,5925
19963454,332,Muy Grave,5925
71578206,320,Muy Grave,5925
53374153,159,Grave,316
48878256,329,Muy Grave,5925
35912665,136,Grave,316
45043076,334,Muy Grave,5925
96693273,306,Muy Grave,5925
48450395,133,Grave,316
35683701,314,Muy Grave,5925
50201756,106,Grave,316
77763722,159,Grave,316
69494747,117,Grave,316
64532449,108,Grave,316
42956681,110,Grave,316
60784914,124,Grave,316
66849703,201,Leve,158
77763722,129,Grave,316
49927087,334,Muy Grave,5925
15559308,335,Muy Grave,5925
73818744,122,Grave,316
35671623,127,Grave,316
19568447,161,Grave,316
70414420,112,Grave,316
51929951,149,Grave,316
48878256,163,Grave,316
71832810,166,Grave,316
21621497,136,Grave,316
42956681,144,Grave,316
34248357,305,Muy Grave,5925
71578206,333,Muy Grave,5925
87282766,111,Grave,316
29833157,114,Grave,316
54447051,126,Grave,316
96693273,142,Grave,316
96693273,148,Grave,316
39544560,328,Muy Grave,5925
48878256,134,Grave,316
24859596,329,Muy Grave,5925
30441350,152,Grave,316
82031355,122,Grave,316
90467829,148,Grave,316
53374153,123,Grave,316
21621497,101,Grave,316
32244565,315,Muy Grave,5925
84186239,330,Muy Grave,5925
80457845,108,Grave,316
88854166,125,Grave,316
26522329,101,Grave,316
45043076,325,Muy Grave,5925
37080813,315,Muy Grave,5925
53853385,170,Grave,316
73972114,319,Muy Grave,5925
75348522,336,Muy Grave,5925
99950484,144,Grave,316
99950484,333,Muy Grave,5925
34248357,104,Grave,316
71832810,124,Grave,316
35683701,137,Grave,316
90467829,146,Grave,316
86429854,151,Grave,316
63291514,142,Grave,316
48878256,145,Grave,316
47528229,207,Leve,158
88167677,134,Grave,316
79641328,156,Grave,316
12270502,135,Grave,316
52002275,118,Grave,316
29989682,153,Grave,316
