15029228,201,10/12/2019,C0P-895
48450395,151,16/10/2020,Q5S-871
73357516,151,27/05/2019,E6R-293
50200823,115,23/07/2020,Q6C-943
88167677,127,06/09/2019,V7U-622
16925690,321,14/05/2019,F3F-478
87282766,135,25/02/2019,S1D-093
73357516,339,02/09/2019,G0B-604
38862473,306,14/05/2019,S6Y-726
82031355,102,25/11/2020,J0J-790
54141214,140,20/04/2019,J7Y-327
15115705,170,03/01/2019,N9Q-814
39544560,126,06/06/2019,Y0K-784
32244565,339,20/09/2020,W9L-468
60784914,128,20/05/2020,C6Q-548
73567806,320,26/07/2019,E2D-493
47844324,329,02/01/2019,X7J-719
15559308,330,03/11/2020,X6O-905
16925690,323,21/02/2020,F3F-478
27864822,318,16/01/2019,T9U-338
42956681,134,29/07/2020,A6D-661
53853385,153,27/11/2020,R6P-267
54447051,132,18/12/2019,D5W-773
60784914,319,19/10/2019,A8J-929
89941095,131,24/09/2019,P6T-244
71578206,162,16/11/2020,L4H-670
32090869,331,16/04/2020,L4B-291
79766395,305,07/01/2019,T3R-184
88167677,335,05/05/2019,O0C-616
73567806,124,31/12/2019,A7Y-833
73357516,158,01/02/2020,J2K-636
86718074,104,06/12/2019,L4O-783
71578206,341,05/08/2020,G7Z-721
32244565,316,07/11/2019,J1E-736
79766395,204,23/08/2020,H7P-047
49428502,306,07/10/2019,T0V-569
63736112,137,30/07/2020,T9A-930
53853385,156,04/10/2020,O5L-856
73357516,126,06/09/2020,J2K-636
73357516,311,25/06/2019,G0B-604
30046639,305,08/08/2020,L8F-459
73972114,316,31/08/2020,J2M-606
77367073,313,08/05/2020,H9A-097
77367073,101,20/03/2020,W4W-684
82870470,108,10/06/2019,C4O-436
77763722,112,23/10/2020,Q4P-612
32244565,134,08/04/2019,J1E-736
27268323,138,28/01/2020,L6Z-161
34248357,103,11/02/2019,U0T-459
24859596,310,05/10/2019,A8P-118
80457845,133,10/12/2019,M7F-612
88854166,127,11/11/2020,L3N-150
34248357,138,23/09/2020,H4R-733
87495937,115,18/08/2019,L2H-207
39544560,306,25/04/2020,Y0K-784
47528229,149,16/01/2019,T8Y-354
50200823,336,05/09/2019,R0P-255
82031355,113,02/03/2019,Z5D-724
54141214,333,26/09/2019,J7Y-327
64532449,126,31/03/2020,X3Z-285
15559308,130,02/09/2019,S3L-803
48878256,335,03/05/2019,G2R-979
27185429,111,22/10/2020,U3F-754
54447051,331,24/02/2019,G3Y-654
16477908,110,29/10/2020,X9D-758
64532449,161,08/09/2019,J0V-437
45043076,316,06/08/2020,R1T-735
16477908,320,21/09/2020,I0E-459
60784914,170,01/05/2019,A8J-929
19963454,165,03/09/2020,X9O-440
79641328,324,17/07/2019,X8Q-687
19963454,202,08/11/2020,T9D-604
48878256,322,20/08/2019,G2R-979
86718074,302,22/09/2020,L4O-783
36079131,141,10/04/2020,I0W-872
12270502,330,17/12/2019,Y5F-449
75348522,107,11/04/2020,X0D-655
42956681,127,14/03/2019,L8Z-555
66849703,307,20/02/2019,J2F-853
73567806,341,15/04/2019,A7Y-833
80457845,122,26/05/2019,M7F-612
47528229,322,11/04/2020,I4H-529
90467829,112,31/07/2020,K4H-445
26522329,207,06/03/2019,W7R-114
82870470,159,09/07/2020,C4O-436
77763722,329,01/09/2019,Q4P-612
32244565,325,29/04/2019,M8W-853
19963454,332,15/01/2020,T9D-604
71578206,320,13/09/2019,Y9F-491
53374153,159,20/06/2019,V7L-069
48878256,329,31/08/2019,Z4L-514
35912665,136,19/12/2019,O4X-500
45043076,334,12/01/2019,I1D-713
96693273,306,10/05/2019,A6K-820
48450395,133,14/10/2020,Q5S-871
35683701,314,16/01/2019,D5W-953
50201756,106,28/09/2019,X8O-807
77763722,159,09/12/2020,W2L-827
69494747,117,08/02/2019,J8D-125
64532449,108,25/01/2019,X3Z-285
42956681,110,02/07/2020,E0L-862
60784914,124,26/04/2020,A8J-929
66849703,201,18/05/2019,B4N-777
77763722,129,08/10/2019,W2L-827
49927087,334,06/10/2020,X3E-271
15559308,335,02/01/2019,X6O-905
73818744,122,12/11/2020,U5N-536
35671623,127,20/06/2020,V4E-749
19568447,161,18/11/2020,D8R-235
70414420,112,18/10/2019,A7Y-514
51929951,149,16/11/2019,O8J-848
48878256,163,04/06/2020,Z4L-514
71832810,166,02/09/2019,W1C-444
21621497,136,23/08/2020,W5W-525
42956681,144,11/08/2020,L8Z-555
34248357,305,07/10/2019,U0T-459
71578206,333,23/12/2020,Y9F-491
87282766,111,18/06/2020,S1D-093
29833157,114,22/05/2019,I9F-484
54447051,126,07/07/2020,D5W-773
96693273,142,08/09/2020,C0G-556
96693273,148,26/04/2019,C0G-556
