A,25,71984468,IPARRAGUIRRE VILLEGAS NICOLAS EDILBERTO
A,25,29847168,ALDAVE ZEVALLOS ROSARIO
C,10,79475585,RETTO ARCA ANNIE MAGDA
C,10,91897732,GAMARRA ALCOCER VIRGINIA
C,10,33397650,RONDON EGUSQUIZA CARMELA VALENTINA
B,10,5,83236386,RIVERO CORRALES JUAN FERNANDO
B,10,5,32821689,ZAVALETA EPIQUEN CARMEN ZKENIA
A,50,45783712,POZO CHUNG RAFAEL DEL
A,50,11118888,PEREZ ALBELA COSSIO JOSE LUIS ALBERTO
B,10,5,48184351,LOPEZ JAUREGUI ROLANDO
B,10,5,33713901,VILLEGAS CASTRO SOFIA VIRGINIA
C,5,76388967,GONZALES QUIO ISABEL
C,5,81114108,ZAMBRANO SHIRAKAWA WILMER
C,5,57263719,PRADO TORREALBA CARMEN JANET
A,30,79140840,TORREALBA ARCA VICTORIA GLENDA
A,30,71378466,MIYAKE CARO HENRRY EDGAR
B,20,5,17913944,PALOMARES SANTISTEBAN HENRRY
B,20,5,62566305,ROMERO ALFARO MONICA JOHANA
A,50,46462527,LOYOLA MORI NICOLAS FERNANDO
